"('risk', 'type', 'diabetes')",15,FOUND in master list (row 0)
"('type', 'diabetes', 'mellitus')",12,FOUND in master list (row 1)
"('prospective', 'cohort', 'studies')",11,FOUND in master list (row 16)
"('citrus', 'fruits', 'cv')",10,NOT FOUND in master list
"('intake', 'risk', 'type')",7,FOUND in master list (row 32)
"('citrus', 'fruits', 'cruciferous')",6,NOT FOUND in master list
"('family', 'history', 'diabetes')",6,FOUND in master list (row 4)
"('fruit', 'vegetable', 'intake')",6,FOUND in master list (row 144)
"('fruits', 'cruciferous', 'vegetables')",6,NOT FOUND in master list
"('total', 'energy', 'intake')",5,FOUND in master list (row 9)
"('activity', 'family', 'history')",4,FOUND in master list (row 116)
"('cruciferous', 'vegetables', 'intake')",4,NOT FOUND in master list
"('food', 'frequency', 'questionnaire')",4,FOUND in master list (row 57)
"('incidence', 'type', 'diabetes')",4,FOUND in master list (row 10)
"('physical', 'activity', 'family')",4,FOUND in master list (row 122)
"('risk', 'citrus', 'fruits')",4,NOT FOUND in master list
"('age', 'ethnicity', 'bmi')",3,NOT FOUND in master list
"('bmi', 'physical', 'activity')",3,NOT FOUND in master list
"('bmi', 'smoking', 'status')",3,NOT FOUND in master list
"('confounding', 'socioeconomic', 'status')",3,NOT FOUND in master list
"('consumption', 'healthy', 'eating')",3,NOT FOUND in master list
"('con\xef\xac\x81rmed', 'supplementary', 'questionnaires')",3,NOT FOUND in master list
"('cv', 'consumption', 'risk')",3,NOT FOUND in master list
"('diabetes', 'menopausal', 'status')",3,NOT FOUND in master list
"('eating', 'index', 'score')",3,NOT FOUND in master list
"('energy', 'intake', 'fruit')",3,NOT FOUND in master list
"('ethnicity', 'bmi', 'smoking')",3,NOT FOUND in master list
"('fruit', 'juice', 'consumption')",3,NOT FOUND in master list
"('fruits', 'cv', 'consumption')",3,NOT FOUND in master list
"('healthy', 'eating', 'index')",3,NOT FOUND in master list
"('history', 'diabetes', 'menopausal')",3,NOT FOUND in master list
"('hormone', 'total', 'energy')",3,NOT FOUND in master list
"('index', 'score', 'age')",3,NOT FOUND in master list
"('intake', 'citrus', 'fruits')",3,NOT FOUND in master list
"('intake', 'fruit', 'juice')",3,NOT FOUND in master list
"('juice', 'consumption', 'healthy')",3,NOT FOUND in master list
"('menopausal', 'status', 'hormone')",3,NOT FOUND in master list
"('multivitamin', 'physical', 'activity')",3,NOT FOUND in master list
"('observational', 'studies', 'epidemiology')",3,NOT FOUND in master list
"('primary', 'care', 'diabetes')",3,NOT FOUND in master list
"('protective', 'role', 'incidence')",3,NOT FOUND in master list
"('report', 'con\xef\xac\x81rmed', 'supplementary')",3,NOT FOUND in master list
"('self', 'report', 'con\xef\xac\x81rmed')",3,NOT FOUND in master list
"('smoking', 'status', 'multivitamin')",3,NOT FOUND in master list
"('status', 'hormone', 'total')",3,NOT FOUND in master list
"('status', 'multivitamin', 'physical')",3,NOT FOUND in master list
"('type', 'diabetes', 'prospective')",3,FOUND in master list (row 86)
"('vegetable', 'intake', 'risk')",3,NOT FOUND in master list
"('alcohol', 'bmi', 'physical')",2,NOT FOUND in master list
"('analysis', 'srr', 'evidence')",2,NOT FOUND in master list
"('assess', 'dietary', 'intake')",2,NOT FOUND in master list
"('assessment', 'dietary', 'intake')",2,NOT FOUND in master list
"('associations', 'citrus', 'fruits')",2,NOT FOUND in master list
"('bmi', 'ratio', 'smoking')",2,NOT FOUND in master list
"('body', 'mass', 'index')",2,FOUND in master list (row 3)
"('care', 'diabetes', 'europe')",2,NOT FOUND in master list
"('citrus', 'cruciferous', 'vegetables')",2,NOT FOUND in master list
"('citrus', 'cv', 'consumption')",2,NOT FOUND in master list
"('citrus', 'fruits', 'associated')",2,NOT FOUND in master list
"('citrus', 'fruits', 'consumption')",2,NOT FOUND in master list
"('citrus', 'fruits', 'protective')",2,NOT FOUND in master list
"('citrus', 'fruits', 'sumption')",2,NOT FOUND in master list
"('cohort', 'studies', 'bmj')",2,NOT FOUND in master list
"('cohort', 'studies', 'reported')",2,NOT FOUND in master list
"('compared', 'lowest', 'levels')",2,NOT FOUND in master list
"('consumption', 'cv', 'protective')",2,NOT FOUND in master list
"('consumption', 'risk', 'type')",2,FOUND in master list (row 37)
"('con\xef\xac\x81rmed', 'ada', 'criteria')",2,NOT FOUND in master list
"('cv', 'consumption', 'incidence')",2,NOT FOUND in master list
"('cv', 'protective', 'role')",2,NOT FOUND in master list
"('cvs', 'unique', 'rich')",2,NOT FOUND in master list
"('data', 'speci\xef\xac\x81cally', 'women')",2,NOT FOUND in master list
"('diabetes', 'clin', 'pract')",2,NOT FOUND in master list
"('diabetes', 'europe', 'elsevier')",2,NOT FOUND in master list
"('diabetes', 'mellitus', 'prospective')",2,NOT FOUND in master list
"('diabetes', 'prospective', 'cohort')",2,NOT FOUND in master list
"('diabetic', 'patients', 'randomized')",2,NOT FOUND in master list
"('disease', 'risk', 'factor')",2,NOT FOUND in master list
"('dm', 'via', 'improved')",2,NOT FOUND in master list
"('eur', 'clin', 'nutr')",2,FOUND in master list (row 29)
"('extract', 'citrus', 'fruits')",2,NOT FOUND in master list
"('four', 'cohort', 'studies')",2,NOT FOUND in master list
"('frequency', 'questionnaire', 'diet')",2,NOT FOUND in master list
"('fruits', 'cv', 'intake')",2,NOT FOUND in master list
"('fruits', 'protective', 'role')",2,NOT FOUND in master list
"('glucosinolates', 'precursors', 'isothiocyanates')",2,NOT FOUND in master list
"('heart', 'disease', 'risk')",2,NOT FOUND in master list
"('higher', 'intake', 'citrus')",2,NOT FOUND in master list
"('highest', 'lowest', 'analysis')",2,NOT FOUND in master list
"('id', 'liu', 'whs')",2,NOT FOUND in master list
"('importantly', 'cvs', 'unique')",2,NOT FOUND in master list
"('independent', 'main', 'risk')",2,NOT FOUND in master list
"('individuals', 'highest', 'level')",2,NOT FOUND in master list
"('insulin', 'signaling', 'addition')",2,NOT FOUND in master list
"('intake', 'compared', 'lowest')",2,NOT FOUND in master list
"('intake', 'incidence', 'type')",2,FOUND in master list (row 75)
"('ischaemic', 'heart', 'disease')",2,NOT FOUND in master list
"('kuopio', 'ischaemic', 'heart')",2,NOT FOUND in master list
"('large', 'prospective', 'studies')",2,NOT FOUND in master list
"('limonoids', 'folic', 'acid')",2,NOT FOUND in master list
"('liu', 'whs', 'villegas')",2,NOT FOUND in master list
"('lowest', 'analysis', 'srr')",2,NOT FOUND in master list
"('mailed', 'validated', 'self')",2,NOT FOUND in master list
"('main', 'risk', 'factors')",2,NOT FOUND in master list
"('mellitus', 'prospective', 'cohort')",2,NOT FOUND in master list
"('patients', 'randomized', 'clinical')",2,NOT FOUND in master list
"('physical', 'activity', 'etc')",2,NOT FOUND in master list
"('presented', 'rrs', 'adjusted')",2,NOT FOUND in master list
"('prospective', 'cohort', 'ies')",2,NOT FOUND in master list
"('protective', 'role', 'development')",2,NOT FOUND in master list
"('randomized', 'clinical', 'trial')",2,NOT FOUND in master list
"('rank', 'correlation', 'test')",2,NOT FOUND in master list
"('relative', 'weight', 'risk')",2,NOT FOUND in master list
"('reported', 'data', 'speci\xef\xac\x81cally')",2,NOT FOUND in master list
"('rich', 'sources', 'glucosinolates')",2,NOT FOUND in master list
"('risk', 'factors', 'cardiovascular')",2,NOT FOUND in master list
"('risk', 'summary', 'individuals')",2,NOT FOUND in master list
"('rrs', 'adjusted', 'dyslipidemia')",2,NOT FOUND in master list
"('score', 'age', 'ethnicity')",2,NOT FOUND in master list
"('showed', 'higher', 'intake')",2,NOT FOUND in master list
"('showed', 'risk', 'srr')",2,NOT FOUND in master list
"('smoking', 'alcohol', 'bmi')",2,NOT FOUND in master list
"('sources', 'glucosinolates', 'precursors')",2,NOT FOUND in master list
"('speci\xef\xac\x81cally', 'women', 'srr')",2,NOT FOUND in master list
"('studies', 'epidemiology', 'moose')",2,NOT FOUND in master list
"('studies', 'presented', 'rrs')",2,NOT FOUND in master list
"('studies', 'publications', 'used')",2,NOT FOUND in master list
"('studies', 'reported', 'data')",2,NOT FOUND in master list
"('studies', 'srr', 'pheteogeneity')",2,NOT FOUND in master list
"('summary', 'individuals', 'highest')",2,NOT FOUND in master list
"('supplementary', 'questionnaires', 'orange')",2,NOT FOUND in master list
"('tolerance', 'insulin', 'signaling')",2,NOT FOUND in master list
"('type', 'diabetic', 'patients')",2,FOUND in master list (row 152)
"('unique', 'rich', 'sources')",2,NOT FOUND in master list
"('used', 'servings', 'per')",2,NOT FOUND in master list
"('validated', 'self', 'report')",2,NOT FOUND in master list
"('vegetable', 'intake', 'incidence')",2,NOT FOUND in master list
"('vegetables', 'intake', 'risk')",2,NOT FOUND in master list
"('villegas', 'swhs', 'cooper')",2,NOT FOUND in master list
"('whs', 'villegas', 'swhs')",2,NOT FOUND in master list
"('\xef\xac\x82avonoids', 'limonoids', 'folic')",2,NOT FOUND in master list
"('abbreviation', 'nhs', 'nurse')",1,NOT FOUND in master list
"('able', 'carefully', 'adjust')",1,NOT FOUND in master list
"('absorption', 'drates', 'suppress')",1,NOT FOUND in master list
"('abstracts', 'considered', 'potential')",1,NOT FOUND in master list
"('accepted', 'december', 'available')",1,NOT FOUND in master list
"('according', 'cational', 'status')",1,NOT FOUND in master list
"('according', 'duration', 'yielded')",1,NOT FOUND in master list
"('according', 'nos', 'studies')",1,NOT FOUND in master list
"('according', 'quality', 'assessment')",1,NOT FOUND in master list
"('according', 'subgroups', 'sex')",1,NOT FOUND in master list
"('accounts', 'heterogeneity', 'among')",1,NOT FOUND in master list
"('accurately', 'complete', 'questionnaires')",1,NOT FOUND in master list
"('accurately', 'report', 'intake')",1,NOT FOUND in master list
"('acid', 'dietary', '\xef\xac\x81ber')",1,NOT FOUND in master list
"('acid', 'improves', 'hepatic')",1,NOT FOUND in master list
"('acid', 'minerals', 'potassium')",1,NOT FOUND in master list
"('across', 'populations', 'likewise')",1,NOT FOUND in master list
"('across', 'studies', 'heterogeneity')",1,NOT FOUND in master list
"('across', 'studies', 'owing')",1,NOT FOUND in master list
"('acta', 'waterman', 'tumer')",1,NOT FOUND in master list
"('activities', 'metabolism', 'rodents')",1,NOT FOUND in master list
"('activity', 'etc', 'consumption')",1,NOT FOUND in master list
"('activity', 'etc', 'sumption')",1,NOT FOUND in master list
"('activity', 'income', 'level')",1,NOT FOUND in master list
"('activity', 'level', 'smoking')",1,NOT FOUND in master list
"('activity', 'lower', 'lence')",1,NOT FOUND in master list
"('activity', 'majority', 'studies')",1,NOT FOUND in master list
"('activity', 'vivo', 'hypoglycemic')",1,NOT FOUND in master list
"('ada', 'criteria', 'citrus')",1,NOT FOUND in master list
"('ada', 'criteria', 'cv')",1,NOT FOUND in master list
"('addition', 'animal', 'studies')",1,NOT FOUND in master list
"('addition', 'mice', 'supplemented')",1,NOT FOUND in master list
"('addition', 'particular', 'concern')",1,NOT FOUND in master list
"('addition', 'researches', 'cated')",1,NOT FOUND in master list
"('addition', 'subgroup', 'analysis')",1,NOT FOUND in master list
"('additional', 'ments', 'family')",1,NOT FOUND in master list
"('additional', 'sensitivity', 'analyses')",1,NOT FOUND in master list
"('additionally', 'dietary', 'exposures')",1,NOT FOUND in master list
"('additionally', 'recent', 'demonstrated')",1,NOT FOUND in master list
"('address', 'sun', 'http')",1,NOT FOUND in master list
"('adjust', 'known', 'dietary')",1,NOT FOUND in master list
"('adjusted', 'age', 'studies')",1,NOT FOUND in master list
"('adjusted', 'dyslipidemia', 'according')",1,NOT FOUND in master list
"('adjusted', 'dyslipidemia', 'con\xef\xac\x81rm')",1,NOT FOUND in master list
"('adjusted', 'greatest', 'number')",1,NOT FOUND in master list
"('adjusted', 'rank', 'correlation')",1,NOT FOUND in master list
"('adjusted', 'relative', 'risks')",1,NOT FOUND in master list
"('adjustment', 'covariates', 'including')",1,NOT FOUND in master list
"('adjustment', 'status', 'important')",1,NOT FOUND in master list
"('adjustments', 'covariates', 'therefore')",1,NOT FOUND in master list
"('adjustments', 'history', 'hypertension')",1,NOT FOUND in master list
"('adjustments', 'hypertension', 'yes')",1,NOT FOUND in master list
"('adjustments', 'known', 'tial')",1,NOT FOUND in master list
"('adjustments', 'statistical', 'analysis')",1,NOT FOUND in master list
"('adjustments', 'whs', 'aged')",1,NOT FOUND in master list
"('administered', 'ffq', 'ascertained')",1,NOT FOUND in master list
"('administered', 'ffq', 'evaluate')",1,NOT FOUND in master list
"('administered', 'questionnaires', 'credible')",1,NOT FOUND in master list
"('administered', 'validated', 'mailed')",1,NOT FOUND in master list
The similarity metric is 7.83
